url: https://www.spotrac.com/nba/injured/_/year/2025/view/player
rank,player,pos,team,injury_details,games_missed,days_missed,cash_total
205,Tari Eason,PF,HOU,"Short-Term IR: Concussion: 12/5/24-12/9/24 | Short-Term IR: Leg: 12/19/24-1/15/25, 2/13-2/13/25, 2/22-2/22/25, 3/30-3/30/25 | Short-Term IR: Injury Management: 1/28-1/28/25, 2/4-2/4/25, 2/9-2/9/25, 2/26-2/26/25, 3/3-3/3/25, 3/15-3/15/25, 4/11-4/11/25",23,43,913191
206,Isaiah Joe,SG,OKC,"Short-Term IR: Calf: 11/19/24-11/24/24 | Short-Term IR: Illness: 1/22-1/23/25 | Short-Term IR: Knee: 2/10-2/10/25, 4/4-4/4/25 | Short-Term IR: Back: 3/2-3/3/25",8,12,895980
207,AJ Green,SG,MIL,Short-Term IR: Back: 1/2-1/2/25 | Short-Term IR: Quad: 1/19-4/1/25,8,73,889724
208,Richaun Holmes,C,WAS,"Short-Term IR: Illness: 11/11/24-11/11/24, 12/8/24-12/8/24 | Short-Term IR: Knee: 3/5-3/5/25, 3/10-3/10/25 | Short-Term IR: Shoulder: 4/6-4/13/25",9,12,872304
209,Zaccharie Risacher,SF,ATL,"Short-Term IR: Adductor: 1/15-1/25/25, 1/28-1/28/25",7,12,866832
210,Tyler Herro,SG,MIA,"Short-Term IR: Groin: 1/21-1/21/25 | Short-Term IR: Illness: 2/10-2/10/25, 3/5-3/5/25 | Short-Term IR: Thigh: 4/5-4/5/25 | Short-Term IR: Rest: 4/13-4/13/25",5,5,833335
211,Dwight Powell,C,DAL,Short-Term IR: Hip: 1/20-2/23/25,16,35,804615
212,Bam Adebayo,C,MIA,"Short-Term IR: Back: 1/13-1/13/25, 4/7-4/7/25 | Short-Term IR: Knee: 2/13-2/13/25 | Short-Term IR: Rest: 4/13-4/13/25",4,4,801112
213,Amen Thompson,PG,HOU,"Short-Term IR: Calf: 1/18-1/18/25 | Short-Term IR: Shoulder: 3/3-3/3/25 | Short-Term IR: Ankle: 3/10-3/19/25, 3/25-3/25/25 | Short-Term IR: Rest: 4/9-4/9/25, 4/11-4/11/25",11,15,797415
214,Jaylin Williams,C,OKC,Short-Term IR: Hamstring: 10/23/24-12/20/24 | Short-Term IR: Hip: 3/29-3/29/25 | Short-Term IR: Ankle: 4/2-4/8/25,32,67,777669
215,Ja'Kobe Walter,SG,TOR,"Short-Term IR: Shoulder: 10/23/24-10/31/24, 11/9/24-11/20/24 | Short-Term IR: Illness: 12/26/24-12/26/24 | Short-Term IR: Quad: 3/8-3/20/25 | Short-Term IR: Hip: 4/9-4/13/25",22,39,776646
216,Coby White,PG,CHI,"Short-Term IR: Ankle: 12/2/24-12/5/24, 1/23-1/27/25 | Short-Term IR: Neck: 1/12-1/12/25 | Short-Term IR: Rest: 4/8-4/8/25",7,11,758626
217,Miles McBride,PG,NYK,"Short-Term IR: Knee: 11/15/24-11/24/24 | Short-Term IR: Hamstring: 1/3-1/8/25 | Short-Term IR: Groin: 3/22-3/22/25, 3/25-4/4/25",16,28,757960
218,Naji Marshall,SF,DAL,"Short-Term IR: Illness: 12/1/24-12/3/24, 12/5/24-12/9/24, 12/15/24-12/15/24, 1/22-1/27/25",12,15,738915
219,DaQuan Jeffries,SG,CHA,Short-Term IR: Hand: 10/23/24-12/5/24 | Short-Term IR: Adductor: 1/3-1/3/25 | Short-Term IR: Illness: 1/12-1/12/25 | Short-Term IR: Knee: 2/20-2/25/25,26,52,724828
220,Nikola Jovic,SF,MIA,"Short-Term IR: Ankle: 12/1/24-12/2/24, 12/16/24-12/16/24 | Short-Term IR: Hand: 2/24-4/13/25",30,51,722262
221,Royce O'Neale,SF,PHX,Short-Term IR: Ankle: 12/31/24-1/11/25 | Short-Term IR: Injury Management: 4/1-4/1/25,7,13,700427
222,Kenrich Williams,PF,OKC,Short-Term IR: Knee: 10/24/24-11/10/24,10,18,689904
223,Brandin Podziemski,SG,GSW,Short-Term IR: Illness: 11/6/24-11/6/24 | Short-Term IR: Abdominal: 12/30/24-1/22/25 | Short-Term IR: Back: 3/8-3/17/25,18,34,687820
224,Jaxson Hayes,C,LAL,"Short-Term IR: Ankle: 11/13/24-11/25/24, 11/27/24-12/25/24 | Short-Term IR: Knee: 3/8-3/14/25",23,48,679728
225,Kentavious Caldwell-Pope,SG,ORL,"Short-Term IR: Personal: 11/21/24-11/21/24 | Short-Term IR: Knee: 1/12-1/12/25, 4/11-4/11/25 | Short-Term IR: Rest: 2/1-2/1/25, 3/14-3/14/25",5,5,653935
226,Tim Hardaway Jr.,SG,DET,Short-Term IR: Head: 11/13/24-11/17/24 | Short-Term IR: Back: 1/9-1/9/25 | Short-Term IR: Ankle: 3/23-3/23/25,5,7,651448
227,Derrick White,PG,BOS,Short-Term IR: Foot: 12/1/24-12/1/24 | Short-Term IR: Illness: 1/7-1/7/25 | Short-Term IR: Shin: 1/27-1/27/25 | Short-Term IR: Knee: 3/15-3/15/25 | Short-Term IR: Ankle: 4/9-4/9/25 | Short-Term IR: Neck: 4/13-4/13/25,6,6,649014
228,Charles Bassey,C,SAS,"Short-Term IR: Knee: 2/5-2/20/25, 2/25-4/2/25",26,52,646308
229,Ochai Agbaji,SF,TOR,"Short-Term IR: Hip: 1/9-1/9/25 | Short-Term IR: Hand: 1/17-1/25/25 | Short-Term IR: Ankle: 3/2-3/14/25 | Short-Term IR: Rest: 3/28-3/28/25, 4/1-4/1/25, 4/4-4/4/25, 4/9-4/9/25",16,26,644072
230,Cason Wallace,PG,OKC,"Short-Term IR: Quad: 12/28/24-12/28/24 | Short-Term IR: Shoulder: 2/3-2/13/25, 3/19-3/19/25, 4/9-4/13/25 | Short-Term IR: Knee: 3/7-3/7/25, 3/25-3/25/25",14,20,638600
231,John Konchar,SG,MEM,"Short-Term IR: Foot: 10/26/24-10/30/24 | Short-Term IR: Quad: 10/31/24-11/7/24 | Short-Term IR: Illness: 11/20/24-11/21/24, 4/1-4/1/25 | Short-Term IR: Shoulder: 1/4-1/4/25 | Short-Term IR: Knee: 3/5-3/5/25",10,18,637758
232,Gabe Vincent,PG,LAL,"Short-Term IR: Oblique: 12/31/24-1/3/25 | Short-Term IR: Knee: 1/27-1/30/25, 2/12-2/12/25, 3/14-3/14/25",8,10,632180
233,Sam Hauser,SF,BOS,"Short-Term IR: Back: 10/23/24-11/28/24, 12/19/24-12/13/24, 12/21/24-12/21/24, 3/24-3/24/25 | Short-Term IR: Personal: 12/2/24-12/2/24 | Short-Term IR: Adductor: 12/12/24-12/12/24 | Short-Term IR: Hip: 1/27-1/29/25 | Short-Term IR: Ankle: 3/6-3/6/25",11,52,625300
234,Torrey Craig,SF,CHI,"Short-Term IR: Illness: 11/9/24-11/9/24, 12/13/24-12/13/24 | Short-Term IR: Achilles: 12/21/24-12/21/24 | Short-Term IR: Leg: 12/31/24-2/2/25 | Short-Term IR: Ankle: 2/8-2/10/25",21,40,623100
235,Olivier-Maxence Prosper,PF,DAL,Short-Term IR: Wrist: 3/7-4/13/25,19,37,610389
236,Keyonte George,SG,UTA,"Short-Term IR: Foot: 11/9/24-11/11/24, 3/10-3/16/25 | Short-Term IR: Ankle: 12/21/24-12/29/24 | Short-Term IR: Heel: 1/7-1/12/25 | Short-Term IR: Illness: 3/5-3/5/25",14,26,610272
237,Shaedon Sharpe,SG,POR,Short-Term IR: Shoulder: 10/23/24-11/4/24 | Short-Term IR: Knee: 4/11-4/13/25,10,16,608192
238,Jose Alvarado,PG,NOP,"Short-Term IR: Hamstring: 11/13/24-1/1/25 | Short-Term IR: Illness: 2/5-2/5/25 | Short-Term IR: Calf: 4/6-4/6/25, 4/10-4/10/25",25,53,605737
239,Tidjane Salaun,PF,CHA,"Short-Term IR: Ankle: 12/5/24-12/12/24, 2/25-2/27/25, 3/20-3/21/25 | Short-Term IR: Illness: 2/3-2/3/25",8,14,602546
240,Joe Ingles,SF,MIN,Short-Term IR: Calf: 11/26/24-12/25/24 | Short-Term IR: Personal: 4/11-4/11/25,15,31,588597
241,Bennedict Mathurin,SG,IND,Short-Term IR: Illness: 1/29-1/29/25 | Short-Term IR: Wrist: 2/28-3/6/25 | Short-Term IR: Calf: 3/29-4/2/25 | Short-Term IR: Injury Management: 4/13-4/13/25,9,14,582988
242,Santi Aldama,C,MEM,"Short-Term IR: Ankle: 12/27/24-1/6/25, 4/13-4/13/25 | Short-Term IR: Illness: 1/24-1/25/25 | Short-Term IR: Calf: 3/3-3/5/25, 3/9-3/17/25",18,25,569050
243,Ben Sheppard,SF,IND,Short-Term IR: Oblique: 11/18/24-12/15/24 | Short-Term IR: Toe: 4/6-4/13/25,19,36,551160
244,Vit Krejci,PG,ATL,Short-Term IR: Adductor: 10/30/24-11/16/24 | Short-Term IR: Injury Management: 11/18/24-11/18/24 | Short-Term IR: Back: 2/12-3/8/25,21,44,546876
245,Walker Kessler,C,UTA,"Short-Term IR: Hip: 11/12/24-11/22/24 | Short-Term IR: Rest: 1/12-1/12/25, 1/17-1/17/25, 3/2-3/2/25, 3/5-3/5/25, 3/9-3/9/25 | Short-Term IR: Shoulder: 1/27-1/28/25, 2/8-2/8/25 | Short-Term IR: Thumb: 2/13-2/13/25 | Short-Term IR: Illness: 2/24-2/24/25, 3/28-3/28/25 | Short-Term IR: Head: 4/4-4/13/25",21,32,545472
246,Aaron Wiggins,SG,OKC,Short-Term IR: Achilles: 3/25-4/2/25,5,9,543825
247,Jalen Smith,PF,CHI,"Short-Term IR: Knee: 10/30/24-10/30/24 | Short-Term IR: Illness: 11/11/24-11/11/24, 2/2-2/2/25 | Short-Term IR: Ankle: 11/27/24-11/28/24, 12/28/24-12/28/24 | Short-Term IR: Concussion: 2/22-2/26/25",8,11,541871
248,Jalen Williams,SF,OKC,"Short-Term IR: Hip: 1/19-1/19/25, 3/12-3/16/25, 3/19-3/19/25, 3/21-3/25/25, 4/11-4/13/25 | Short-Term IR: Wrist: 2/1-2/3/25, 3/7-3/7/25",13,19,521493
249,Josh Hart,SG,NYK,"Short-Term IR: Personal: 12/19/24-12/19/24 | Short-Term IR: Knee: 2/20-2/21/25, 4/10-4/10/25, 4/13-4/13/25",5,5,521380
250,Kyle Anderson,PF,GSW,Short-Term IR: Neck: 11/12/24-11/12/24 | Short-Term IR: Hamstring: 1/15-1/23/25,6,10,504630
251,Moses Moody,SG,GSW,Short-Term IR: Ankle: 12/11/24-12/22/24 | Short-Term IR: Injury Management: 12/28/24-12/28/24 | Short-Term IR: Knee: 1/9-1/9/25 | Short-Term IR: Back: 2/5-2/5/25,7,15,500280
252,Chris Boucher,PF,TOR,"Short-Term IR: Illness: 1/21-1/21/25, 2/4-2/4/25, 3/23-3/26/25, 4/13-4/13/25 | Short-Term IR: Teeth: 3/7-3/7/25",7,8,497008
253,Simone Fontecchio,SF,DET,Short-Term IR: Toe: 11/13/24-11/16/24 | Short-Term IR: Personal: 1/1-1/4/25 | Short-Term IR: Hand: 2/24-2/26/25,7,11,486299
254,Anthony Edwards,SG,MIN,Short-Term IR: Illness: 2/1-2/1/25 | Short-Term IR: Hip: 2/8-2/8/25,2,2,484786
255,Jake LaRavia,PF,MEM,Short-Term IR: Ankle: 12/31/24-12/31/24 | Short-Term IR: Back: 1/22-1/25/25 | Short-Term IR: Knee: 3/10-3/10/25 | Short-Term IR: Illness: 3/19-3/19/25 | Short-Term IR: Thumb: 3/27-4/13/25,16,25,481700
256,Johnny Juzang,SG,UTA,Short-Term IR: Thumb: 10/23/24-10/29/24 | Short-Term IR: Hand: 1/11-1/30/25,12,27,479088
257,Kobe Brown,PF,LAC,Short-Term IR: Back: 11/27/24-12/27/24,12,31,451453
258,Derrick Jones Jr.,SF,LAC,Short-Term IR: Hamstring: 12/13/24-12/16/24 | Short-Term IR: Groin: 3/2-3/5/25,5,8,437880
259,Maxwell Lewis,SF,BKN,Short-Term IR: Knee: 1/2-2/10/25,20,40,434920
260,Bobi Klintman,SF,DET,Short-Term IR: Calf: 10/23/24-12/21/24,29,60,433500
261,Peyton Watson,SG,DEN,"Short-Term IR: Knee: 2/1-3/2/25, 4/2-4/2/25",14,31,430001
262,Jaden Hardy,SG,DAL,"Short-Term IR: Ankle: 12/7/24-12/7/24, 12/10/24-12/25/24, 1/20-1/23/25, 3/5-3/16/25 | Short-Term IR: Leg: 4/5-4/9/25",18,37,429459
263,Julian Strawther,SF,DEN,Short-Term IR: Knee: 3/5-4/2/25,16,28,410760
264,Kyshawn George,SG,WAS,"Short-Term IR: Ankle: 12/5/24-12/15/24, 2/8-2/8/25, 3/26-4/6/25 | Short-Term IR: Knee: 3/19-3/19/25",14,25,405975
265,Keegan Murray,PF,SAC,"Short-Term IR: Ankle: 12/16/24-12/16/24, 1/1-1/3/25 | Short-Term IR: Back: 4/6-4/9/25",6,8,405040
266,James Harden,SG,LAC,"Short-Term IR: Groin: 1/2-1/2/25, 1/22-1/22/25",2,2,386826
267,Dario Saric,PF,DEN,Short-Term IR: Ankle: 12/7/24-12/19/24,5,13,386113
268,Terrence Shannon Jr.,SG,MIN,Short-Term IR: Foot: 1/13-1/30/25 | Short-Term IR: Groin: 3/28-4/4/25,15,26,380536
269,Mohamed Bamba,C,LAC,Short-Term IR: Knee: 10/23/24-11/15/24 | Short-Term IR: Injury Management: 11/25/24-11/25/24,12,25,375450
270,Kel'el Ware,C,MIA,Short-Term IR: Illness: 10/25/24-10/25/24 | Short-Term IR: Foot: 12/1/24-12/8/24 | Short-Term IR: Knee: 3/3-3/7/25,9,14,362382
271,Kris Dunn,PG,LAC,"Short-Term IR: Knee: 1/22-1/31/25, 2/2-2/2/25, 3/16-3/16/25",8,12,356412
272,Anthony Black,SG,ORL,Short-Term IR: Back: 12/29/24-1/5/25,4,8,349784
273,Andrew Nembhard,PG,IND,"Short-Term IR: Knee: 11/1/24-11/3/24, 11/8/24-11/30/24 | Short-Term IR: Injury Management: 12/4/24-12/4/24, 12/27/24-12/27/24 | Short-Term IR: Back: 1/29-1/29/25 | Short-Term IR: Thumb: 4/11-4/11/25",17,30,348210
274,Jericho Sims,C,NYK,Short-Term IR: Back: 1/13-1/13/25 | Short-Term IR: Thumb: 3/18-4/13/25,16,28,336700
275,Dyson Daniels,PG,ATL,Short-Term IR: Hip Flexor: 10/30/24-11/2/24 | Short-Term IR: Illness: 12/28/24-12/29/24 | Short-Term IR: Ankle: 1/27-1/28/25 | Short-Term IR: Rest: 4/13-4/13/25,7,9,313425
276,Cameron Payne,PG,NYK,Short-Term IR: Hamstring: 11/3/24-11/11/24 | Short-Term IR: Elbow: 12/5/24-12/7/24 | Short-Term IR: Ankle: 3/28-4/2/25,8,18,310698
277,Jett Howard,SG,ORL,Short-Term IR: Ankle: 1/12-1/21/25,5,10,303350
278,Pelle Larsson,SG,MIA,"Short-Term IR: Ankle: 12/8/24-1/16/25, 4/9-4/13/25",6,45,299250
279,Obi Toppin,PF,IND,"Short-Term IR: Ankle: 11/10/24-11/10/24, 12/27/24-12/29/24",3,4,298276
280,Zach Collins,C,SAS,Short-Term IR: Back: 12/13/24-12/15/24,2,3,288642
281,Jaylon Tyson,SG,CLE,Short-Term IR: Hip: 11/2/24-11/5/24 | Short-Term IR: Illness: 12/16/24-12/16/24 | Short-Term IR: Knee: 3/21-3/30/25,9,15,286740
282,Ariel Hukporti,C,NYK,"Short-Term IR: Ankle: 12/11/24-12/11/24, 12/15/24-12/15/24 | Short-Term IR: Knee: 2/28-4/13/25",25,46,281290
283,Orlando Robinson,C,SAC,Short-Term IR: Knee: 10/24/24-11/15/24,13,23,275931
284,Jock Landale,C,HOU,Short-Term IR: Shoulder: 11/11/24-11/11/24 | Short-Term IR: Personal: 1/15-1/18/25 | Short-Term IR: Illness: 2/3-2/3/25,5,6,275862
285,Jaime Jaquez Jr.,SF,MIA,"Short-Term IR: Illness: 11/4/24-11/9/24, 1/27-1/27/25, 2/10-2/10/25 | Short-Term IR: Ankle: 11/18/24-11/18/24, 3/2-3/5/25",9,13,275379
286,Amir Coffey,SG,LAC,"Short-Term IR: Knee: 2/13-2/13/25, 3/31-3/31/25, 4/2-4/11/25",8,12,271608
287,Ty Jerome,SG,CLE,"Short-Term IR: Illness: 12/3/24-12/3/24, 1/12-1/14/25 | Short-Term IR: Calf: 2/12-2/12/25 | Short-Term IR: Rest: 3/11-3/11/25 | Short-Term IR: Knee: 3/27-4/4/25 | Short-Term IR: Injury Management: 4/11-4/13/25",12,18,264924
288,Brook Lopez,C,MIL,Short-Term IR: Back: 2/3-2/3/25 | Short-Term IR: Rest: 4/13-4/13/25,2,2,264368
289,Isaiah Collier,PG,UTA,"Short-Term IR: Hamstring: 10/23/24-11/4/24, 4/9-4/13/25",10,18,259938
290,Kyle Filipowski,PF,UTA,Short-Term IR: Ankle: 11/23/24-12/7/24,6,15,258615
291,Xavier Tillman,C,BOS,"Short-Term IR: Illness: 12/19/24-12/19/24 | Short-Term IR: Knee: 2/12-2/23/25, 3/21-3/26/25",8,19,244340
292,Karlo Matkovic,PF,NOP,Short-Term IR: Back: 12/7/24-1/5/25 | Short-Term IR: Hamstring: 4/11-4/13/25,14,33,243177
293,Monte Morris,PG,PHX,"Short-Term IR: Back: 2/23-2/28/25, 3/7-3/16/25",10,15,241455
294,Chris Duarte,SF,CHI,Short-Term IR: Personal: 1/19-1/25/25,3,7,237104
295,Russell Westbrook,PG,DEN,Short-Term IR: Hamstring: 2/1-2/12/25,7,12,227844
296,Garrett Temple,SG,TOR,Short-Term IR: Back: 11/6/24-11/10/24 | Short-Term IR: Personal: 2/26-3/4/25,7,12,227844
297,Sam Merrill,SG,CLE,"Short-Term IR: Ankle: 11/13/24-11/19/24, 1/3-1/8/25 | Short-Term IR: Injury Management: 11/20/24-11/20/24, 4/11-4/11/25 | Short-Term IR: Illness: 1/29-1/29/25 | Short-Term IR: Personal: 2/7-2/7/25 | Short-Term IR: Rest: 4/13-4/13/25",11,18,223956
298,Dalen Terry,SG,CHI,"Short-Term IR: Knee: 12/13/24-12/19/24, 2/4-2/5/25 | Short-Term IR: Calf: 4/1-4/1/25, 4/11-4/11/25",7,11,221925
299,Alperen Sengun,C,HOU,"Short-Term IR: Calf: 1/30-1/30/25, 2/1-2/3/25 | Short-Term IR: Back: 3/3-3/3/25, 4/9-4/9/25 | Short-Term IR: Personal: 4/11-4/11/25",6,7,218232
300,Alec Burks,SG,MIA,"Short-Term IR: Back: 3/7-3/14/25, 3/15-3/17/25, 4/13-4/13/25",8,11,208857
301,Jalen Duren,C,DET,"Short-Term IR: Ankle: 11/8/24-11/11/24, 4/4-4/4/25 | Short-Term IR: Wrist: 12/12/24-12/14/24",4,8,208592
302,Jae’Sean Tate,SF,HOU,Short-Term IR: Illness: 12/29/24-12/29/24 | Short-Term IR: Back: 2/22-2/22/25 | Short-Term IR: Ankle: 4/11-4/13/25,4,5,203025
303,Jaden Springer,PG,BOS,"Short-Term IR: Knee: 11/10/24-11/15/24 | Short-Term IR: Illness: 12/12/24-12/12/24 | Short-Term IR: Back: 3/5-3/9/25, 3/16-3/21/25",10,18,201764
304,Cam Reddish,SF,LAL,"Short-Term IR: Personal: 10/25/24-10/27/24, 2/1-2/4/25, 2/7-2/7/25, 2/10-2/12/25 | Short-Term IR: Foot: 11/16/24-11/16/24 | Short-Term IR: Illness: 12/1/24-12/1/24 | Short-Term IR: Back: 1/7-1/7/25",10,14,198254
305,Gary Trent Jr.,SG,MIL,"Short-Term IR: Back: 11/8/24-11/11/24 | Short-Term IR: Hip: 1/12-1/15/25 | Short-Term IR: Knee: 3/5-3/8/25, 4/13-4/13/25",8,13,195234
306,Guerschon Yabusele,PF,PHI,"Short-Term IR: Knee: 1/18-1/19/25, 2/7-2/7/25, 3/12-3/12/25, 3/17-3/17/25, 3/30-4/1/25 | Short-Term IR: Eye: 2/26-2/26/25 | Short-Term IR: Personal: 4/7-4/13/25",12,16,191952
307,Luka Garza,C,MIN,Short-Term IR: Ankle: 12/21/24-1/4/25,8,15,186435
308,Davion Mitchell,PG,TOR,"Short-Term IR: Shoulder: 12/19/24-12/19/24 | Short-Term IR: Illness: 12/29/24-12/29/24, 3/31-3/31/25 | Short-Term IR: Foot: 2/2-2/2/25 | Short-Term IR: Quad: 3/3-3/3/25",5,5,185375
309,Yves Missi,C,NOP,"Short-Term IR: Shoulder: 11/22/24-11/22/24 | Short-Term IR: Illness: 1/17-1/17/25 | Short-Term IR: Ankle: 3/13-3/15/25, 4/10-4/13/25 | Short-Term IR: Hip: 3/23-3/23/25",8,10,183520
310,Pacome Dadiet,SG,NYK,Short-Term IR: Toe: 1/27-2/12/25,7,17,176647
311,Anthony Gill,PF,WAS,Short-Term IR: Ankle: 2/8-2/12/25 | Short-Term IR: Hip: 3/29-3/31/25 | Short-Term IR: Hamstring: 4/9-4/13/25,8,13,167180
312,T.J. McConnell,PG,IND,"Short-Term IR: Illness: 11/8/24-11/8/24 | Short-Term IR: Ankle: 2/24-2/24/25, 2/26-2/26/25",3,3,160344
313,Bronny James,PG,LAL,"Short-Term IR: Heel: 11/19/24-12/6/24 | Short-Term IR: Illness: 1/13-1/15/25, 4/8-4/8/25 | Short-Term IR: Forearm: 2/10-2/10/25",14,23,152950
314,Dennis Schröder,PG,BKN,Short-Term IR: Ankle: 11/24/24-11/24/24 | Short-Term IR: Personal: 11/29/24-11/29/24,2,2,149716
315,Quentin Grimes,SG,DAL,"Short-Term IR: Illness: 11/25/24-11/25/24, 3/14-3/14/25 | Short-Term IR: Back: 1/20-1/20/25 | Short-Term IR: Rest: 3/24-3/24/25, 3/30-3/30/25 | Short-Term IR: Shoulder: 4/11-4/11/25",6,6,148164
316,Drew Eubanks,C,UTA,Short-Term IR: Illness: 10/28/24-10/29/24 | Short-Term IR: Ankle: 2/12-2/13/25 | Short-Term IR: Hip: 3/11-3/11/25,4,5,143680
317,Sviatoslav Mykhailiuk,SG,UTA,Short-Term IR: Groin: 12/13/24-12/16/24 | Short-Term IR: Foot: 3/17-3/19/25,4,7,140805
318,Dalano Banton,PG,POR,"Short-Term IR: Hip: 12/19/24-12/23/24, 12/26/24-12/30/24 | Short-Term IR: Personal: 3/7-3/7/25",6,11,138886
319,Nicolas Batum,SF,LAC,Short-Term IR: Finger: 1/22-1/22/25 | Short-Term IR: Illness: 1/31-1/31/25 | Short-Term IR: Groin: 4/11-4/13/25,4,5,134140
320,Jordan Miller,SF,LAC,Short-Term IR: Finger: 1/23-1/27/25 | Short-Term IR: Hip: 3/14-4/4/25,14,27,132748
321,Ryan Dunn,SF,PHX,"Short-Term IR: Ankle: 11/8/24-11/8/24, 12/5/24-12/11/24, 1/27-1/27/25",4,9,130905
322,Craig Porter Jr.,G,CLE,"Short-Term IR: Thumb: 10/28/24-11/1/24 | Short-Term IR: Illness: 12/5/24-12/8/24, 2/2-2/2/25, 4/8-4/8/25 | Short-Term IR: Ankle: 12/16/24-12/16/24",9,12,130476
323,Daniel Theis,C,NOP,Short-Term IR: Neck: 12/5/24-12/8/24 | Short-Term IR: Thumb: 1/31-2/3/25,5,8,128776
324,Adem Bona,C,PHI,Short-Term IR: Knee: 12/6/24-12/16/24 | Short-Term IR: Ankle: 3/16-3/23/25,9,19,126350
325,MarJon Beauchamp,SG,MIL,"Short-Term IR: Illness: 11/4/24-11/5/24, 1/17-1/19/25 | Short-Term IR: Neck: 12/3/24-12/5/24",5,8,125688
326,Seth Curry,SG,CHA,"Short-Term IR: Knee: 11/2/24-11/3/24, 1/5-1/5/25, 3/30-3/30/25 | Short-Term IR: Ankle: 1/24-1/24/25 | Short-Term IR: Back: 3/1-3/1/25",5,6,113922
327,Patty Mills,PG,LAC,Short-Term IR: Illness: 4/8-4/13/25,4,6,113922
328,Luke Kornet,C,BOS,"Short-Term IR: Hamstring: 11/8/24-11/9/24, 11/24/24-11/25/24 | Short-Term IR: Personal: 2/25-2/25/25, 2/26-2/26/25 | Short-Term IR: Illness: 3/31-3/31/25",6,7,112679
329,AJ Johnson,PG,MIL,Short-Term IR: Achilles: 11/23/24-11/25/24 | Short-Term IR: Illness: 12/23/24-12/26/24,3,7,112455
330,Bol Bol,PF,PHX,Short-Term IR: Knee: 12/21/24-12/28/24,5,8,111512
331,Brandon Boston Jr,SG,NOP,"Short-Term IR: Ankle: 2/10-3/11/25, 3/13-4/13/25",28,61,109728
332,Stephon Castle,PG,SAS,Short-Term IR: Shoulder: 12/13/24-12/14/24,1,2,104656
333,Kevin Porter Jr.,PG,LAC,Short-Term IR: Ankle: 12/1/24-12/6/24 | Short-Term IR: Illness: 12/27/24-12/27/24 | Short-Term IR: Wrist: 4/13-4/13/25,5,8,102880
334,Georges Niang,PF,ATL,Short-Term IR: Illness: 3/3-3/3/25 | Short-Term IR: Rest: 4/13-4/13/25,2,2,97702
335,Bruno Fernando,C,TOR,Short-Term IR: Ankle: 11/18/24-11/23/24 | Short-Term IR: Toe: 12/29/24-12/29/24,3,7,97573
336,Jay Huff,C,MEM,Short-Term IR: Ankle: 12/19/24-12/26/24,4,8,96000
337,Kevon Looney,C,GSW,Short-Term IR: Illness: 11/18/24-11/19/24,1,2,91954
338,Jae Crowder,SF,SAC,"Short-Term IR: Back: 12/30/24-12/30/24, 3/9-3/14/25",4,6,90354
339,Dariq Whitehead,SG,BKN,Short-Term IR: Concussion: 1/10-1/10/25 | Short-Term IR: Knee: 2/26-3/1/25,4,5,89490
340,Vasilije Micic,PG,CHA,Short-Term IR: Ankle: 2/5-2/5/25 | Short-Term IR: Illness: 3/21-3/21/25,2,2,88770
341,Brice Sensabaugh,SF,UTA,Short-Term IR: Illness: 1/7-1/11/25 | Short-Term IR: Ankle: 1/22-1/22/25,4,6,88674
342,Cameron Christie,SG,LAC,Short-Term IR: Ankle: 1/25-2/6/25,7,13,86450
343,Naz Reid,C,MIN,Short-Term IR: Illness: 1/29-1/29/25,1,1,80382
344,Payton Pritchard,PG,BOS,Short-Term IR: Illness: 2/2-2/2/25 | Short-Term IR: Hip: 3/29-3/29/25,2,2,76970
345,Markieff Morris,PF,DAL,"Short-Term IR: Illness: 1/9-1/9/25, 3/4-3/6/25",3,4,75948
346,Jonathan Mogbo,C,TOR,Short-Term IR: Nose: 3/7-3/14/25,5,7,74921
347,Jamal Shead,PG,TOR,"Short-Term IR: Knee: 12/23/24-12/26/24 | Short-Term IR: Illness: 1/31-1/31/25, 2/2-2/2/25 | Short-Term IR: Rest: 4/9-4/9/25",5,7,74921
348,Jevon Carter,PG,CHI,Short-Term IR: Illness: 1/19-1/19/25 | Short-Term IR: Shoulder: 4/1-4/1/25,2,2,74712
349,Nick Smith Jr.,PG,CHA,Short-Term IR: Back: 2/9-2/9/25 | Short-Term IR: Ankle: 4/2-4/4/25 | Short-Term IR: Groin: 4/13-4/13/25,4,5,74345
350,Malaki Branham,SG,SAS,Short-Term IR: Ankle: 11/9/24-11/12/24,2,4,73976
351,Jalen Green,SG,HOU,Short-Term IR: Shoulder: 3/30-3/30/25,1,1,71742
352,Talen Horton-Tucker,SG,CHI,Short-Term IR: Knee: 1/17-1/17/25 | Short-Term IR: Leg: 2/2-2/5/25,4,5,69695
353,Jabari Walker,SF,POR,Short-Term IR: Head: 3/16-3/21/25,4,6,69642
354,Ivica Zubac,C,LAC,Short-Term IR: Eye: 1/22-1/22/25,1,1,67490
355,Johnny Furphy,SG,IND,"Short-Term IR: Illness: 10/28/24-10/29/24, 3/15-3/17/25 | Short-Term IR: Ankle: 11/25/24-11/25/24",4,6,63822
356,Jeremiah Robinson-Earl,PF,NOP,"Short-Term IR: Illness: 12/12/24-12/12/24, 12/15/24-12/15/24 | Short-Term IR: Ankle: 12/30/24-1/1/25",4,5,63130
357,Johnny Davis,SG,WAS,Short-Term IR: Illness: 1/7-1/8/25,2,2,60818
